Date,Total_event_runners,temperature,windspeed,precipitation,ave_run_time,best_time,worst_time
2013-03-09,398.0,7.6,8.0,0.0,25.826479591836733,17.43,41.68
2013-03-16,362.0,6.0,53.3,0.2,26.14441340782123,17.5,41.8
2013-03-23,241.0,2.3,37.2,0.0,24.982698412698415,17.63,41.12
2013-03-30,345.0,2.5,28.7,0.0,25.9640350877193,15.83,36.93
2013-04-06,409.0,3.8,27.0,0.0,26.046901408450704,16.1,41.7
2013-04-13,386.0,8.7,26.400000000000002,0.0,26.10686813186813,17.38,42.28
2013-04-20,320.0,6.4,19.2,0.0,26.165170454545454,17.6,42.75
2013-04-27,393.0,6.3,21.3,0.0,26.04890350877193,16.07,42.07
2013-05-04,368.0,10.6,33.8,0.0,26.461642512077297,17.37,42.38
2013-05-11,298.0,10.5,34.8,0.0,25.45465517241379,15.67,36.05
2013-05-18,329.0,10.9,13.9,0.0,26.139384615384618,15.52,41.52
2013-05-25,399.0,9.6,23.199999999999996,0.0,26.10942307692308,18.15,41.5
2013-06-01,341.0,12.8,21.9,0.0,26.348152173913046,15.32,41.33
2013-06-08,353.0,12.9,34.5,0.0,26.367853403141364,18.57,41.28
2013-06-15,363.0,13.4,39.79999999999999,0.0,26.160518867924527,17.42,43.75
2013-06-22,294.0,14.099999999999998,44.2,0.2,26.0881045751634,18.3,43.02
2013-06-29,394.0,15.0,17.9,0.0,26.399241071428573,17.37,48.1
2013-07-06,416.0,18.0,9.0,0.0,26.73767543859649,17.07,68.27
2013-07-13,391.0,18.3,8.4,0.0,27.040744186046513,17.2,66.03
2013-07-20,384.0,19.8,29.3,0.0,26.75557077625571,17.02,42.7
2013-07-27,367.0,19.6,8.7,0.0,26.5288785046729,16.97,40.0
2013-08-03,394.0,17.4,33.0,0.0,25.81285714285714,15.43,44.97
2013-08-10,378.0,16.9,11.3,0.0,26.455701357466065,15.6,41.48
2013-08-17,386.0,17.2,29.1,0.0,25.891479820627804,16.48,41.37
2013-08-24,329.0,17.2,21.3,0.0,25.86247311827957,16.93,40.02
